Site;Grave_ID;object_ID;Plate_number;object_type;count;comments;anatomical_part;species;length_mm;width_mm;thickness_mm;hole_diam_mm
Blucina;14.1.1. Gr. 1;bone;;animal;;animal bone (pig shoulder diaphysis);;;;;;
Kyjov-Netcice (Stara Hora);148.2.1. Gr. 1;tooth;;animal;;animal bones: canine fragment (domestic pig);;;;;;
Kyjov-Netcice (Stara Hora);148.2.1. Gr. 1;bone;;animal;;animal bones: domestic dog (cranium(?) remains).;;;;;;
Letonice (Hajek);155.1.3. Br. 5;bone;grave fill;animal;;animal bones (unidentified);;;;;;
Mouchnice (DÃ­ly za vraty);199.1.2. Gr. 2;bone;;animal;;fragments of animal bones (unidentified, not preserved);;;;;;
Boleradice (U studanky);20.1.1. Gr. 1;bone;;animal;;animal bones;;;;;;
Boleradice (U studanky);20.1.1. Gr. 1;bone;;animal;;animal bone fragments (horse metatarsus, domestic aurochs talus, pig maxilla and mandible, sheep/goat tibia, scattered with individual's skeletal remains. ;;;;;;
Nechvalin (Nivky);207.1.3. Gr. 11;bone;;animal;;animal remains: domestic pig (Vertebrae of), domestic aurochs (Fovea of the iliac bone), unidentified animal bone fragments;;;;;;
Pavlov (Horni pole);232.1.1 Grave 5 (VN 1);bone;;animal;;animal bones (domestic pig);;;;;;
Pavlov (Horni pole);232.1.2. Gr. 14;bone;;animal;;animal bone fragments (sheep/goat, tibia and femur, and other sheep/goat bones in different parts of the grave);;;;;;
Pavlov (Horni pole);232.1.2. Gr. 14;bone;;animal;;more bone fragments (domestic aurochs, undetermined);;;;;;
Slavkov u Brna (Slovanska ulice);277.1.1. Gr. 1;bone;;animal;;scattered animal remains: domestic aurochs (metacarpus, astragalus), red deer (humerus), sheep/goat (molar, neck vertebra), tortoise (fraction of lateral part of carapace), toad (metatarsal, humerus, ileum, coracoid);;;;;;
Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West);30.1.1 Grave 9;bone;;animal;;Only animal bones found (ribs, radius, ulna from sheep/goat and goat), no objects;;;;;;
Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West);30.1.2 Grave 36 (VN 1);bone;;animal;;animal bones: horse (humerus), domestic pig (radius, rib fragments), sheep/goat (humerus fragment);;;;;;
Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West);30.1.3 Grave 42 VN 1;bone;;animal;;animal bones (sheep/goat femur diaphysis);;;;;;
Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West);30.1.4 Grave 70 (VN I);bone;;animal;;unidentified animal bone fragment;;;;;;
Vresovice (Padelky);355.1.2. Gr. 2;bone;;animal;;animal bone (domestic pig, wing of left iliac pelvis bone);;;;;;
Zelesice (Sadova ulice, site No. 203/2);368.1.1 Grave 1;bone;;animal;;distal ends of ulna and radius: lumps of red paint (haematite);;;;;;
Detkovice (Motorway Prostejov-Vyskov Section);58.1.1. Gr. 1;bone;;animal;;animal bones (considerably eroded diaphyses of all the primary bones of a domestic pig);;;;;;
Holubice IV (U cihelen);93.1.2. Gr. 26;bone;;animal;;animal bones (left humerus of sheep/goat);;;;;;
