Grave_ID	SiteName	SiteID	Diet (Kolar et al. 2012)	elevation_m_asl	elevation_source	ageGroup	meanAge	graveDepth	underlier_depth_cm	gravePitVol_m3	BarrowPreserved	SkelPos	HeadOrient	MorphSex	SexGender	Typochronology	pitLabourHours	height	anthroNotes	GravegoodsList	ChippedStoneMaterial	RockMaterialMaterial	unworkedAnimal_spec	boneToothBeads_perf	boneToolSimple	BoneTuskAntler_complex	small vessel	S_Polish	S_Deco	vesselLarge	L_Polish	L_Deco	potsherdsUndetermined	spindleWhorl	copperAwlNeedle	copperKnifeRazor	copperJewellery	copperNeckRing	GoldHairRing	flintAxe	flintBladeScraperFlake	shellPerf	battleAxe	stoneAxe	unworkedStoneMineral	Literature
100.3.1. Gr. 1	Hradisko (Ring wall)	100.3		210	DEM	infans I	3	NA		539	FALSE	NA	NA (position undetermined)	subadult	NA	II	1,19658			bowl, beaker^							1		1																	Sebela 1999
104.1.1.1 Grave 1 (VN 1)	Nivky (Hulín)	104		194	DEM	adultus I	22	66	25	2,181725	FALSE	left	NE	female	female	II/IIIa	4,8434295	162		"beaker^, jug^, ""Storied pot""+, crested flint blade (glacial)"	Glacial flint						2	1	1	1		1									1					Sebela 1999
121.1.1. Gr. 1	Kloboucky (Padélky)	121		NA	NA	adultus I	25	NA		NA	FALSE	NA	NA (position undetermined)	female	female	IIIb-c	NA			Nagyrev jug+ (broken)							1	1																		Sebela 1999
132.1.7.2  Barrow 2 (VN 1)	Kostelec u Holešova (Kostelecké polesí)	132		365	DEM	adultus II	38	190		NA	TRUE	NA	S	male	male	II/IIIa	NA		trepanation, individual survived the procedure	jug^, battle axe (porphyric volcanite), 3 flint knives (unidentified flint)	Undetermined (x3)	porphyric volcanite								1		1									3		1			Sebela 1999
14.1.1. Gr. 1	Blucina	14		182	DEM	infans II	13	120		NA	FALSE	NA	NA (position undetermined)	subadult	NA	II/IIIa	NA			jug^+, stone axe (unknown rock), bone chisel, flint endscraper (glacial), rock fragment (sandstone, cobble roundstone), animal bones (pig)	Glacial flint	Undetermined, sandstone, cobble roundstone	1		1					2											1			1		Sebela 1999
143.1.3. Gr. 3	Krumvír (Díly u zahrady-zadky)	143		188	DEM	adultus II	40	NA		5	FALSE	NA	NA (not reported)	male	male	III	11,1	171		amphora+, egg-shaped pot										2	1															Sebela 1999
143.1.4. Gr. 4	Krumvír (Díly u zahrady-zadky)	143		188	DEM	maturus II	50	NA		NA	FALSE	NA	NA (position undetermined)	female(Q)	female	NA	NA			no grave goods																										Sebela 1999
143.1.7. Gr. 7	Krumvír (Díly u zahrady-zadky)	143		188	DEM	adultus II	40	170		6732	FALSE	NA	NA (not reported)	male(Q)	male	IIIb-c	14,94504			bowl, bowl+, cup+, jug+, amphora, egg-shaped pot, copper knife (8,37g), copper chisel-like awl (1,13g)							3	2		3	1				1	1										Sebela 1999
143.1.8. Gr. 8	Krumvír (Díly u zahrady-zadky)	143		188	DEM	maturus I	45	NA		NA	FALSE	NA	NA (position undetermined)	male(Q)	male	NA	NA			no grave goods																										Sebela 1999
148.2.1. Gr. 1	Kyjov-Netcice (Stará Hora)	148.2		203	DEM	maturus II	50	40		NA	FALSE	NA	NA (position undetermined)	NA	NA	IIIa-b	NA			beaker^, large vessel***^, pointed flint blade (glacial), battle axe (calcareous sandstone), stone axe (greenschist), animal bones (canine, domestic pig, domestic dog cranium(?))	Glacial flint	calcareous sandstone, greenschist	1				1		1	1		1									1		1	1		Sebela 1999
155.1.1. Br. 3	Letonice (Hájek)	155		367	DEM	maturus I	45	245		9,8	TRUE	left	W (face North)	male	ambiguous	IIIa-c	21756			Nagyrev jug+, amphora+, egg-shaped pot, 2 small bowls, cup, chisel-like bone tool, 5 boar tusk pendants				5	1		3			3	2															Sebela 1999
155.1.2 Barrow 4 (VN 1)	Letonice (Hájek)	155		367	DEM	adultus II	35	135		6534	TRUE	right	W	male	male	IIIb	14,50548			low cup+, amphora+, jug+, Nagyrev jug+, egg-shaped pot, 5 boar tusks, stone axe (lost), battle axe (undetermined source), 		Undetermined (x2)		5			1	1		4	3												1	1		Sebela 1999
155.1.3. Br. 5	Letonice (Hájek)*	155		367	DEM	maturus I	45	200		12,5	TRUE	NA	NA (position undetermined)	female	female	II-IIIb	27,75			jug (small), bowl (small), bone chisel (domestic aurochs radius), stone axe (source undetermined), flint endscraper (glacial), grave fill: potsherds (jug+), potsherds (other), animal bones (unidentified)	Glacial flint	Undetermined	1		1		2						2													Sebela 1999
155.1.4 Barrow 6 (VN 1)	Letonice (Hájek)	155		367	DEM	adultus I	20	250		15625	TRUE	right	SW	NA	male	IIIa-b	NA			21 vessels (beaker, 3 cups, 3 egg-shaped pot (small), bowl+ (small), egg-shaped pot+ (small), biconical vessel+ (small), 3 jugs^ (small), jug+ (large), 2 jug^+ (large), amphora, amphora^, amphora+, 2 egg-shaped pot (large)), 4 boar tusks, flint blade (Krakow-Czestochowa Jurassic), flint point (glacial), battle axe (serpentinite?), coiled gold wire hair decoration (1,29g), copper awl, copper object (2-edged razor??), stone pebble (unidentified), pointed sandstone object (grooved)	Krakow-Czestochowa Jurassic, Glacial flint	serpentinite?, Undetermined, sandstone (fine-grained)		4			13	3	3	8	4	2			1	1	1		1		2		1		2	Sebela 1999
173.1.4. Gr. 4	Lutín (The Sigma factory)	173		222	DEM	adultus II	35	104		NA	FALSE	NA	NA (position undetermined)	female	female	IIIc	NA	162		Nagyrev jug+ (small), jug+ (small), amphora (small), egg-shaped pot (large), copper hair decoration							3	2		1							1									Sebela 1999
177.1.1 Grave 1 (VN 1)	Marefy (Clupy)	177.1		263	DEM	maturus	NA	70		2,19912	FALSE	left	E	NA	female	IIIa-b	4,8820464			amphora (small), beaker^+, amphora^ (small),  jug^+ (small), amphora^, bone awl (no ID), 5464 nacre (shell) disc beads, 1700 Unio shell fragments (2x6mm), 2 copper hair decorations (wire, 33x20x2,5mm), copper necklace (8 tubed wires, 15-54x6-8x2mm), triple copper bracelet (60 tubed wires 12-18x5-9x1mm, 24 folded sheets, 21x16x1mm), flint endscraper (glacial), perforated animal teeth: 189 incisors, 43 molars, 143 canines (from c. 89 dogs), 4 canines (badger), 57 bone teeth imitations (aurochs(?)), 101 bone beads (cylindrical, no species), animal bones: 2 teeth (molar and incisor from domestic aurochs)	Glacial flint			537	1		4	2	3	1		1					94				1	6314				Sebela 1999
177.4.5. Gr. 5	Marefy (Ctrvti od Letonic)	177.4		213	DEM	adultus II	35	80		NA	FALSE	NA	NA	female	female	IIIa-c	NA			pot-like vessel (small), jug^ (small), jug (amphora-shaped, torso, large), amphora, flint blade (patinated siliceous rock, undetermined)	Undetermined						2		1	2											1					Sebela 1999
197.1.1	Morkuvky (built-up section of the village)*	197*		194	DEM	adultus II	30	NA		NA	FALSE	NA	SSW	male	male	IIIa-b	NA	167		jug+ (small), Egg-shaped pot+ (large), amphora+, grave fill: flint blade (glacial), copper razor, bone chisel (aurochs radius)	Glacial flint				1		1	1		2	2					1					1					Sebela 1999
198.1.1. Gr. 1	Mostkovice (Motorway)	198		256	DEM	adultus II	30	50		1,4	FALSE	left	NA (not reported)	female	female	IIIa-c	3108			pot+ (small, upper part), jug** (large), neck sherd (egg-shaped pot), copper hair decoration (wire)							1	1		1			1				1									Sebela 1999
199.1.2. Gr. 2	Mouchnice (Díly za vraty)	199		271	DEM	infans I	3	90		4059	FALSE	NA	NA	subadult	NA	IIIa-c	9,01098			jug+ (small), beaker, bowl (small), amphora+, egg-shaped pot (large), potsherd (jug), animal bone fragments (unidentified), jug							3	1		2	1		1													Sebela 1999
20.1.1. Gr. 1	Boleradice (U studánky)	20		195	DEM	juvenis	16	120		2,16	FALSE	NA	NA (position undetermined)	female	female	II-IIIb	4,7952			beaker+, flint axe (glacial), flint blade (glacial), animal bone fragments (horse, domestic aurochs, pig, sheep/goat)	Glacial flint (blade and axe)		4				1	1												1	1					Sebela 1999
207.1.1. Gr. 1	Nechvalín (Nivky)	207		270	DEM	maturus I	45	NA		NA	FALSE	NA	S	female	female	IIIb-c	NA			egg-shaped vessel+ (torso, small), potsherd (jug), potsherd (conical bowl), potsherds+ (Nagyrev jug), 3 fragments+ (painted ware)							1	1					6													Sebela 1999
207.1.3. Gr. 11	Nechvalín (Nivky)	207		270	DEM	adultus II	40	NA		NA	FALSE	NA	NA (position undetermined)	male	male	III	NA			egg-shaped pot*** (big), amphora, cup, potsherd (from belly), potsherd+ (thin-walled vessel belly), potsherd+ (thick-walled vessel belly), small fragment+ (thin-walled), 3 potsherds+ (big vessel), potsherd of vessel+, animal bones: pig (vertebra), domestic aurochs (iliac fovea), fragments (unidentified)			3				1			2			7													Sebela 1999
207.1.6. Gr. 18	Nechvalín (Nivky)	207		270	DEM	adultus	NA	NA		NA	FALSE	left	NNE	male	ambiguous	II-III	NA			jug (small), jug (torso, small), 3 potsherds (other vessel belly), potsherds+ (unknown vessel), large potsherd (amphora), flint flake (lost)							2						5								1					Sebela 1999
232.1.1 Grave 5 (VN 1)	Pavlov (Horní pole)	232		172	DEM	adultus I	28	155		6,5097675	FALSE	right	W	male	male	III	14,45168385	167		jug+ (small), amphora+, egg-shaped pot+ (large), copper knife (sheet metal), chert flake (undetermined), chert blade (Krumlovsky les), flint blade scraper (glacial), antler(?) object (red deer), copper awl (chisel-like), copper bead (small, rolled sheet), 3 bone beads, copper fragments (small, sheet), animal bones (domestic pig), bone chisel (aurochs), stone axe (metamorphic basic rock), axe (greenschist)	Krumlovsky les chert, glacial flint, Undetermined	metamorphic basic rock, greenschist					1	1		2	2															Sebela 1999
232.1.2. Gr. 14	Pavlov (Horní pole)	232		172	DEM	maturus	50	130		6,2725	FALSE	NA	NA (cremation grave)	male	male	IIIa-b	13,92495		cremation	beaker^+ (small), pot+ (small, funnel-shaped), jug+ (small, torso), amphora+, potsherds+ (jug), bone harpoon (undetermined 9,6cm), bone chisel (domestic aurochs), flint axe (glacial), animal bone frag. (sheep/goat), long bones (sheep/goat tibia, femur), animal bones (sheep/goat), bone fragments (dom. Aurochs)			2		1	1	3	3	1	1	1		1							1	1					Sebela 1999
24.2.1. Gr. 1	Brno (Luzánky)	24.2		222	DEM	adultus II	30	NA		NA	FALSE	NA	NA (not reported)	female	female	IIIa-c	NA			pot (small), bowl (small)							2																			Sebela 1999
240.1.1. Br. 1	Podolí (Zurán)	240		278	Description	juvenis	19	80		3496	TRUE	NA	NA (position undetermined)	male	male	II-IIIb	7,76112	174		amphora+, battle axe (strongly calcareous sediment), bone awl (undetermined, 10,8cm)		strongly calcareous sediment			1					1	1												1			Sebela 1999
246.1.1. Gr. 1	Prostejov (Dolní ulice)	246.1		221	DEM	adultus	NA	NA		NA	FALSE	right	NA (not reported)	male	male	IIIb-c	NA	168		Nagyrev jug (small), jug (n/a, presumed small), 2 bowls (n/a, presumed small)							4																			Sebela 1999
246.3.1. Gr. 1	Prostejov (Waitova ulice)	246.3		230	DEM	adultus II	35	NA		NA	FALSE	NA	NA	male(Q)	male	IIIb-c	NA			"potsherds of 9 vessels (3 counted as ""whole""): bowl+ (small, semi-globular, upper part present), amphora+ (small, torso, pot-shaped),  jug^+ (large, amphora-shaped, half present), 6 vessels counted as ""potsherds"": 6 potsherds+ (neck/belly, Nagyrev jug), 5"							2	2		1	1	1	6													Sebela 1999
25.4.2 Grave 1	Brno-Chrlice (Zadní roviny)	25.4		200	DEM	adultus I	23	68		1,819125	FALSE	left	NE	female	female	II-III	4,0384575			large unknown vessel+ (torso and other fragments), 3 small potsherds+ (unknown)										1			1													Sebela 1999
257.1.1. Gr. 1	Pustimer (cemetery)	257		310	DEM	maturus I	45	NA		NA	FALSE	NA	NA (cremation grave)	male	male	II-III	NA		cremation	amphora+^										1																Sebela 1999
271.1.1. Gr. 1: Skel. 1	Sivice (Záhumení)	271		300	DEM	adultus I	25	40		864	FALSE	right	NW	male	male	IIIa-b	1,91808	165		beaker^, jug+^ (large), battle axe (unidentified), silex point (lost), potsherd+ (no ID)	Undetermined	Undetermined					1	1		1	1	1	1								1		1			Sebela 1999
273.1.1. Gr. 1	Slatinky (Nivky)	273		280	DEM	adultus I	25	120		NA	FALSE	right	"NA (just ""E-W direction"")"	male(Q)	male	IIIa-b	NA			jug^ (small), beaker^^, battle axe (unidentified), silex knife (unidentified)	Undetermined	Undetermined					2		2												1		1			Sebela 1999
277.1.1. Gr. 1	Slavkov u Brna (Slovanská ulice)	277		210	DEM	juvenis	14	NA		NA	FALSE	NA	NA (position undetermined)	subadult	NA	IIIc	NA	148		amphora (small), pot+ (small), bowl+ (small, Moravian), jug+ (small), Nagyrev jug+ (small), bowl+ (large), egg-shaped pot+ (large), silex blade (glacial), animal remains (domestic aurochs, red deer, sheep/goat, tortoise, toad	Glacial flint		5				5	4		2	2										1					Sebela 1999
281.1.1. Gr. 1	Smrzice (Záolešni)	281		224	DEM	infans I	6	NA		NA	FALSE	left	N	subadult	female	II-III	NA			bowl+^ (small), 2 vessels (no info, presumed small), potsherd (unknown vessel), bone awl (pig long bone diaphysis), flint blade (”knife”, lost), copper head/hair decoration (coloration only)	Undetermined				1		3	1	1				1				1				1					Sebela 1999
291.1.1. Gr. 1	Stráznice (Sterkovna, Gravel pit)	291		184	Description	adultus	NA	NA		NA	FALSE	NA	NA (position undetermined)	male(Q)	male	II-IIIb	NA			vessel+^ (small, bag-shaped), potsherds (beaker+^), battle axe (mica-schist siltstone)		mica-schist siltstone					1	1	1				1										1			Sebela 1999
294.1.1 Grave 5 (VN 1)	Sudomerice (Piskovna)	294		170	DEM	maturus	NA	125		NA	FALSE	right	SW	female	ambiguous	II-IIIb	NA			bowl+^, potsherds^ (beaker), potsherds^ (unknown vessel)							1	1	1				2													Sebela 1999
30.1.1 Grave 9	Brno-Starý Lískovec (CSF Estate, Bohunice-West)	30		265	DEM	infans II	8	20		0,24	FALSE	left	ESE	male(Q)	ambiguous	NA	0,5328			animal bones (sheep/goat, goat)			2																							Sebela 1999
30.1.2 Grave 36 (VN 1)	Brno-Starý Lískovec (CSF Estate, Bohunice-West)	30		265	DEM	maturus II	55	60		4,1472	FALSE	right	W	male	male	IIIb-c	9,206784	165		jug (small), jug+ (small), amphora+ (large), egg-shaped pot+ (large), bone chisel (domestic aurochs), bone awl (unknown species), bone awl (88mm, dom. aurochs(?)), flint blade (ashy grey siliceous rock with foraminifera), battle axe (serpentinite), axe (greenschist-amphobolite), animal remains: horse (humerus), dom. pig (radius, rib frags.), sheep/goat (humerus frag)	ashy grey siliceous rock with foraminifera	serpentinite, greenschist-amphobolite			3		2	1		2	2										1		1	1		Sebela 1999
30.1.3 Grave 42 VN 1	Brno-Starý Lískovec (CSF Estate, Bohunice-West)	30		265	DEM	infans I	3	15		0,11025	FALSE	NA	NA (position undetermined)	subadult	NA	NA	0,244755			jug+ (torso, small), unknown vessel (lower part, small), animal bones (sheep/goat femur diaphysis)			1				2	1																		Sebela 1999
30.1.4 Grave 70 (VN I)	Brno-Starý Lískovec (CSF Estate, Bohunice-West)	30		265	DEM	infans I	1	10		0,12	FALSE	NA	n/a (position undetermined)	subadult	NA	III	0,2664			bowl+ (small), low vessel+ (small), animal bone (frag., no ID)			1				2	2																		Sebela 1999
312.1.1 Grave 1 (VN 1)	Tešetice (Livestock area of agricultural cooperative)	312		225	DEM	maturus I	45	165		6,942375	FALSE	right	SSW	male	male	IIIa-b	15,4120725	170		jug+ (small, funnel-shaped neck), jug+^ (small), amphora+ (globular), small potsherds+ (low neck vessel), battle axe (faceted, Olivine basalt), hard bone/antler tool (2 frags, 11, 19cm), flint axe+ (11,8cm, glacial), stone anvil (bowl-like upper surface, reddish sandstone weight 760g)	Glacial flint	Olivine basalt, sandstone (reddish)			1		2	2	1	1	1		1							1			1		1	Sebela 1999
314.1.2. Gr. 2	Tovacov (Podvalí, Svermova ulica)	314		205	DEM	adultus I	25	NA		NA	FALSE	NA	NA (not recorded)	female	female	IIIa-b	NA	154		"bowl+^ (small), bowl+ (small), beaker (small), jug^ (small), jug+ (small, globular), egg-shaped pot+^ (small), copper ""ring"""							6	4	3								1									Sebela 1999
321.3.1. Gr. 3	Tvarozná (Intersection of Motorways D 1 and D 47)	321		280	DEM	maturus	NA	55		2,35125	FALSE	NA	N?	male(Q)	male	II-III	5,219775			jug (large, amphora-shaped), bone awl (sheep/goat(?) tibia)					1					1																Sebela 1999
