Site,Grave_ID,InventoryNumber,thickness_mm,grave_fill,clay_grain_size,temper,temper_percent,polish,smooth_beat,decorated (impression),impressed_decorations_perc,decorated (plastic),plastic_deco,slip_paint_perc,SurfaceFinishOutside,SurfaceFinishInside,Main type,Type,Plate,Measurements (mm),height_cm,max_width_cm,max_measure_cm,Measure_missing,height_mm,rim_mm,wall_mm,bottom_mm,Acc_number
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.21.,,,,,,,,,,modelled ledge,1,,,,egg-shaped pot,155.1.4.21. Egg-shaped pot with smooth modelled ledge between neck and body. H-238-242 mm R 164 num: C-204/135 uun; B-102 mm. Acc. No. Pa 3897/38. PL. 44:1,44:1,Egg-shaped pot with smooth modelled ledge between neck and body.,24,20.4,24,,H-238-242 mm,R 164 mm,C-204/135 mm,B-102 mm,Acc. No. Pa 3897/38
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155 1.4.2.,,,,sand,,,,,,handle,1,,,,cup,"155 1.4.2. Cup with handle Coarsened grey-black surface. Sandy clay matrix. H-115; R-180 mm; B-ca 80 mm. Acc. No. Pa 3888/38 PL 44:3, 184:4","44:3, 184:4",Cup with handle Coarsened grey-black surface. Sandy clay matrix.,11.5,18,18,,H-115,R-180 mm,,B-ca 80 mm,Acc. No. Pa 3888/38
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.4,,,,sand,,,,,,handle,1,,,,cup,"155.1.4.4 Cup with handle. Brown-grey coarse surface. Coarse sandy clay matrix. H-132 mm, R-128 m C-178/65 B-82 mm. Acc. No. Pa 3890/38, PL. 45:5",45:5,Cup with handle. Brown-grey coarse surface. Coarse sandy clay matrix.,13.2,17.8,17.8,,H-132 mm,R-128 mm,C-178/65,B-82 mm,Acc. No. Pa 3890/38
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.5,,,,sand,,,,,,handle,1,,,,cup,155.1.4.5 Cup with handle. Grey-brown coarsened (in places tough) surface. Clay intermixed with coarse sand grains H-105 mm R-138 mm B-70 mm. Ace. No. Pa 3801/38. PL. 43:5,43:5,Cup with handle. Grey-brown coarsened in places tough) surface. Clay intermixed with coarse sand grains,10.5,13.8,13.8,,H-105 mm,R-138 mm,,B-70 mm,Acc. No. Pa 3801/38
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.3.,,,,sand,,,,1,0.5,,,,,,jug,"155.1.4.3. Decorated jug of the Drevohostice type with ribbon handle. Coarsened grey-black surface, Course sandy clay matrix H-183 mm; R-125 mm C-229/170 mm: B-105 mm. Acc. No. Pa 3889/38. PL. 46-3",46:3,"Decorated jug of the Drevohostice type with ribbon handle. Coarsened grey-black surface, Course sandy clay matrix",18.3,22.9,22.9,,H-183 mm,R-125 mm,C-229/170 mm,B-105 mm,Acc. No. Pa 3889/38
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.18.,,,,sand,,,1,,,rich modelled decoration,15,,,,jug,155.1.4.18. Jug of the Drevohostice type with rich modelled decoration. Grey-black smooth surface. Fine sandy clay matrix. H-225 mun; R-172 mm; C-256/98 mm; B-93 mm. Acc. No. Pa 3904/38. PL. 46:1,46:1,Jug of the Drevohostice type with rich modelled decoration. Grey-black smooth surface. Fine sandy clay matrix.,22.5,25.6,25.6,,H-225 mm,R-172 mm,C-256/98 mm,B-93 mm,Acc. No. Pa 3904/38
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.7.,,,,sand,,,1,1,0.2,handle,1,,,,jug,"155.1.4.7. Decorated amphora-shaped jug with handle. Grey-black smooth surface, Clay intermixed sand grains H-295 mmn: R-223 mm; C-344/ 145 mm: B-128 mm. Acc. No. Pa 3893/38. Pl. 47:7, 184.1","47:7, 184:7","Decorated amphora-shaped jug with handle. Grey-black smooth surface, Clay intermixed sand grains",29.5,34.4,34.4,,H-295 mm,R-223 mm,C-344/ 145 mm,B-128 mm,Acc. No. Pa 3893/38
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.16.,,,,sand,,,,1,0.4,ribbon handle,1,,,,jug,"155.1.4.16. Decorated jug of the Drevohostice type with ribbon handle. Brown coarse surface. Coarse sandy clay matrix. H-127 mm, R-107 mun; C-150/55 mm; B-80 mm. Acc. No. Pa 3902/38. PL. 47:3. 189.2a-b","47:3, 189:2a-b",Decorated jug of the D?evohostice type with ribbon handle. Brown coarse surface. Coarse sandy clay matrix.,12.7,15,15,,H-127 mm,R-107 mm,C-150/55 mm,B-80 mm,Acc. No. Pa 3902/38
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.8.,,,,sand,,,,1,0.1,"2 handles, 4 tunnel handles",6,,,,amphora,155.1.4.8. Decorated amphora with two handles on belly and 4 tunnel handles below neck. Grey-brown coarsened surface. Coarse sandy clay matrix. H-565 mm; R-178 mm: C-625/265 mm; B-150 mm. Acc. No Pa 3804/38. Pl. 444.,44:4,Decorated amphora with two handles on belly and 4 tunnel handles below neck. Grey-brown coarsened surface. Coarse sandy clay matrix.,56.5,62.5,62.5,,H-565 mm,R-178 mm,C-625/265 mm,B-150 mm,Acc. No Pa 3804/38
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.9.,,,,sand,,,,1,0.1,"2 handles, 4 ribbon handles",6,,,,amphora,155.1.4.9. Decorated egg-shaped amphora with two ribbon handles on belly and 4 tunnel handles below neck Brown-black coarsened surface Clay intermixed with coarse sand grains. H-600 mm; R-178 mm; C-540/300 mm; B-170 m. Acc. No. Pa 3895/38 PL 464.,46:4,Decorated egg-shaped amphora with two ribbon handles on belly and 4 tunnel handles below neck Brown-black coarsened surface Clay intermixed with coarse sand grains.,60,54,60,,H-600 mm,R-178 mm,C-540/300 mm,B-170 m,Acc. No. Pa 3895/38
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.20.,,,,sand,,,1,,,2 massive handles,2,,,,amphora,"155.1.4.20. Amphora with two massive handles on belly. Grey-black smooth surface. Sandy clay matrix, H-470 mm; R - 170 mm; C - 490/223 mm; B - 140 mm. Acc.No. Pa3905/38. Pl. 47:4",47:4,"Amphora with two massive handles on belly. Grey-black smooth surface. Sandy clay matrix,",47,49,49,,H-470 mm,R - 170 mm,C - 490/223 mm,B - 140 mm,Acc.No. Pa3905/38
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.6.,,,,sand,,,1,1,0.2,ribbon handle,1,,,,jug,"155.1.4.6. Decorated amphora-shaped jug with ribbon handle. Grey-black smooth surface. Sandy clay matrix H-215 R-165 mm: C-250/70-130 mm; B-96-102 mm. Acc. No. Pa 3892/38. PL. 44:2, 184:1","44:2, 184:1",Decorated amphora-shaped jug with ribbon handle. Grey-black smooth surface. Sandy clay matri,21.5,25,25,,H-215,R-165 mm,C-250/70-130 mm,B-96-102 mm,Acc. No. Pa 3892/38
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.17.,,,,sand,,,,1,0.6,ribbon handle,1,,,,jug,155.1.4.17. Decorated jug of the Drevohostice type with ribbon handle. Brown coarsened surface with black spots. Coarse sandy clay matrix. H-204 mm R-141 mm: C-215/70 mm; B-80 mm. Acc. No. Fa 3903/38,"43:7, 189:7a-b",Decorated jug of the Drevohostice type with ribbon handle. Brown coarsened surface with black spots. Coarse sandy clay matrix.,20.4,21.5,21.5,,H-204 mm,R-141 mm,C-215/70 mm,B-80 mm,Acc. No. Fa 3903/38
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.1.,,,,sand,,,,,,"handle, modelled boss",2,,,,beaker,"155.1.4.1. Beaker with handle and with modelled boss on belly. Grey-black coarse surface Clay intermixed with coarse grains of sand H-222 mm, R-102 mm; C-198/42 mm, B-95 mm. Acc. No. Pa 3887/38. PL. 433",43:3,Beaker with handle and with modelled buss on belly. Grey-black coarse surface Clay intermixed with coarse grains of sand,22.2,19.8,22.2,,H-222 mm,R-102 mm,C-198/42 mm,B-95 mm,Acc. No. Pa 3887/38
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155 1.4.15.,,,,sand,,,1,,,double modelled boss,2,,,,bowl ,"155 1.4.15. Bowl of the Moravian type with double modelled boss Smooth grey-black surface. Clay intermixed with fine grains of sand. H- 40 mm; R 144 mm; B-75 mm. Acc. No. Pa 3901/38, (Inv. No. 107436) PL. 45:4",45:4,Bowl of the Moravian type with double modelled boss Smooth grey-black surface. Clay intermixed with fine grains of sand.,4,14.4,14.4,,H- 40 mm,R 144 mm,,B-75 mm,Acc. No. Pa 3901/38
Letonice (Hajek),155.1.4 Barrow 6 (VN 1),155.1.4.19.,,,,sand,,,1,,,,,,,,biconical vessel,"155.1.4.19. Handless vessel with biconically designed body. Grey-black smooth surface. Clay intermixed with fine sand grains. H-195-204 mun, R-144 mm, C-208/85 mm. B-85 mm. Acc. No. Pa 3909/38. PL. 45:2",45:2,Handless vessel with biconically designed body. Grey-black smooth surface. Clay intermixed with fine sand grains.,19.95,20.8,20.8,,H-195-204 mm,R-144 mm,C-208/85 mm,B-85 mm,Acc. No. Pa 3909/38
Letonice (Hajek),155.1.3. Br. 5,ceramic,,,,sand,,,,,,ribbon handle,1,,,,jug ,"jug (undecorated, Drevohostice type with ribbon handle. Dark grey coarsened surface. Sandy clay matrix. (H - 164-150 mm; R - 120 mm; C - 187/65 mm; B - 98 mm)",,"undecorated, Drevohostice type with ribbon handle. Dark grey coarsened surface. Sandy clay matrix. ",15.7,18.7,18.7,,H - 164-150 mm,R - 120 mm,C - 187/65 mm,B - 98 mm),
Letonice (Hajek),155.1.3. Br. 5,ceramic,,,,sand,,,,,,modelled boss,1,,,,Bowl ,Bowl (on legs with modelled boss below rim. Coarsened grey-brown surface. Clay intermixed with fine sand grains. (H - 70-74 mm; R - 214 mm; B - 100 mm),,on legs with modelled boss below rim. Coarsened grey-brown surface. Clay intermixed with fine sand grains. ,7.2,21.4,21.4,,H - 70-74 mm,R - 214 mm,,B - 100 mm),
Letonice (Hajek),155.1.3. Br. 5,ceramic,,grave fill,,sand,,,1,,,,,,,,potsherds ,potsherds (undecorated jug. Light brown smooth surface. small sand grain-tempered. Reconstructed (H - 173 mm; R - 128 mm; C - 165/70 mm; B - ca 60 mm),,undecorated jug. Light brown smooth surface. small sand grain-tempered. Reconstructed ,17.3,16.5,17.3,,H - 173 mm,R - 128 mm,C - 165/70 mm,B - ca 60 mm),
Letonice (Hajek),155.1.3. Br. 5,ceramic,,barrow fill,,,,,,,,,,,,,9 potsherds ,9 potsherds (non-standard),,"9 potsherds, non-standard",10,10,10,TRUE,,,,,
Lutin (The Sigma factory),173.1.4. Gr. 4,ceramic,,,,sand,,,1,,,,,,,,Nagyrev jug ,"Nagyrev jug (Orhalom type B, smooth (in places worn out) surface, clay mixed with coarse sand grains. (H 166 mm; R 115 mm; B 76 mm)",,"Orhalom type B, smooth in places worn out) surface, clay mixed with coarse sand grains.",16.6,11.5,16.6,,H 166 mm,R 115 mm,,B 76 mm),
Lutin (The Sigma factory),173.1.4. Gr. 4,ceramic,,,,sand,,,1,,,,,,,,Jug ,"Jug (biconical shape with slightly bent cylindrical neck, gray brown smooth surface with red spots. Clay with fine grains of sand (H 184 mini R 87 mini C 176/75 mm, B 74 mm)",,"biconical shape with slightly bent cylindrical neck, gray brown smooth surface with red spots. Clay with fine grains of sand ",18.4,17.6,18.4,,H 184 mm,R 87 mm,C 176/75 mm,B 74 mm),
Lutin (The Sigma factory),173.1.4. Gr. 4,ceramic,,,,sand,,,,,,ribbon handles,2,,,,amphora ,"amphora (pot shaped with two ribbon handles above belly Light brown coarsened surface, sandy clay matrix. (Preserved H - 233 mm; B 100 mm)",49:12,"pot shaped with two ribbon handles above belly Light brown coarsened surface, sandy clay matrix. ",23.3,10,23.3,,Preserved H - 233 mm,,,B 100 mm),
Lutin (The Sigma factory),173.1.4. Gr. 4,ceramic,,,,,,,,,,,,,,,Egg-shaped pot ,"Egg-shaped pot (coarsened brown surface with dark spots, Clay like material, (H 252 mm. R - 153 mm; B 112 mm), ",49:11,"Egg-shaped pot, coarsened brown surface with dark spots, Clay like material, ",25.2,15.3,25.2,,H 252 mm,R - 153 mm,,"B 112 mm),",
Marefy (Clupy),177.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,1,1,0.53,,,,,,beaker ,"beaker (decorated, corded with S-shaped body walls. brown smooth surface. Sandy clay matrix. (H-240 mm; R- 184 mm; C- 212/90 mm; B -104 mm)",52:5,"decorated, corded with S-shaped body walls. brown smooth surface. Sandy clay matrix. ",24,21.2,24,,H-240 mm,R- 184 mm,C- 212/90 mm,B -104 mm),
Marefy (Clupy),177.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,,1,0.35,,,,,,amphora ,"amphora (decorated, handleless with ball-shaped body. Coarsened black-grey surface. Clay-like sand-tempered, (H - 310 mm; R - 144 mm; C - 364/130 mm; B - 106 mm)","53:8, 182:3a-c","decorated, handleless with ball-shaped body. Coarsened black-grey surface. Clay-like sand-tempered, ",31,36.4,36.4,,H - 310 mm,R - 144 mm,C - 364/130 mm,B - 106 mm),
Marefy (Clupy),177.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,1,1,0.45,ribbon handle,1,,,,jug ,"jug (decorated, Drevohostice type with ribbon handle. Smooth black-grey surface. sand-tempered clay. (H -178 mm; R -128 mm; C - 172/60 mm; B - 70 mm)","53:3, 190:6a-c","decorated, Drevohostice type with ribbon handle. Smooth black-grey surface. sand-tempered clay. ",17.8,17.2,17.8,,H -178 mm,R -128 mm,C - 172/60 mm,B - 70 mm),
Marefy (Clupy),177.1.1 Grave 1 (VN 1),ceramic,,,,,,,,,,tunnel handles,2,,,,Amphora ,"Amphora (with 2 tunnel handles on shoulders, Yellow-brown coarsened (in places worn out) surface. Clay-like material, (H -196 mm; R-92 mm; C - 178/85 mm; B - 90 mm)",53:9,"with 2 tunnel handles on shoulders, Yellow-brown coarsened in places worn out) surface. Clay-like material,",19.6,17.8,19.6,,H -196 mm,R-92 mm,C - 178/85 mm,B - 90 mm),
Marefy (Clupy),177.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,,1,0.35,tunnel handles,2,,,,small amphora ,"small amphora (decorated, with two tunnel handles below neck. Coarsened light surface. Sandy clay matrix. (H - 120 mm; R - 84 mm; B - 72)","52:4, 180:6a-b","decorated, with two tunnel handles below neck. Coarsened light surface. Sandy clay matrix. ",12,8.4,12,,H - 120 mm,R - 84 mm,,B - 72),
Marefy (Ctrvti od Letonic),177.4.5. Gr. 5,ceramic,,,,sand,,,,,,,,,,,torso of a jug ,"torso of a jug (amphora-shaped, coarsened grey-black surface, sandy clay matrix. (Preserved H 242 mm (original - 370 mm); R - 130 mm; C - 370/40 mm; B - 100 mm), ",,"amphora-shaped, coarsened grey-black surface, sandy clay matrix. ",37,37,37,,Preserved H 242 mm (original - 370 mm),R - 130 mm,C - 370/40 mm,B - 100 mm),
Marefy (Ctrvti od Letonic),177.4.5. Gr. 5,ceramic,,,,,,,,,,tunnel handles,4,,,,amphora ,"amphora (four tunnel handles below neck (only one preserved), black coarsened surface, clay-like material, (H - 367 mm; R - 132 mm; C - 380/125 mm; B - 90 mm)",,"four tunnel handles below neck only one preserved), black coarsened surface, clay-like material,",36.7,38,38,,H - 367 mm,R - 132 mm,C - 380/125 mm,B - 90 mm),
Marefy (Ctrvti od Letonic),177.4.5. Gr. 5,ceramic,,,,,,,,,,,,,,,pot-shaped vessel ,"pot-shaped vessel (H - 190 mm; R - 185 mm; C - 200 mm, B - 100 mm)",,,19,20,20,,H - 190 mm,R - 185 mm,C - 200 mm,B - 100 mm),
Marefy (Ctrvti od Letonic),177.4.5. Gr. 5,ceramic,,,,sand,,,,1,0.55,ribbon handle,1,,,,jug ,"jug (decorated, Drevohostice type, ribbon handle, coarsened grey-black surface, sandy clay matrix. (H - 172 mm; R - 110 mm; C - 180/50; B - 90 mm)",57:6,"decorated, Drevohostice type, ribbon handle, coarsened grey-black surface, sandy clay matrix. ",17.2,18,18,,H - 172 mm,R - 110 mm,C - 180/50,B - 90 mm),
Morkuvky (built-up section of the village),197.1.1,ceramic,,,,sand,,,1,,,modelled bosses,4,,,,Egg-shaped pot  ,"Egg-shaped pot  (with four modelled bosses. Smooth, brown to dark brown coloured surface. Clay- sandy material. (H - 280 mm; R - 165 mm; B - 110 mm.)",,"with four modelled bosses. Smooth, brown to dark brown coloured surface. Clay- sandy material. ",28,16.5,28,,H - 280 mm,R - 165 mm,,B - 110 mm.),
Morkuvky (built-up section of the village),197.1.1,ceramic,,,,,,,1,,,"handle, 4x3 modelled ribs",13,,,,Jug ,"Jug (ribbon-shaped handle. four groups of three vertical modelled ribs on shoulder, smooth, grey-black surface with darker spots. (H - 155 mm; R - 145 mm; B - 95 mm; C - 235 mm)",,"ribbon-shaped handle. four groups of three vertical modelled ribs on shoulder, smooth, grey-black surface with darker spots. ",15.5,23.5,23.5,,H - 155 mm,R - 145 mm,C - 235 mm,B - 95 mm,
Morkuvky (built-up section of the village),197.1.1,ceramic,,,,sand,,,1,,,handles,2,,,,amphora ,"amphora (two-handle, egg-shaped with set-off bottom, brown-black smooth surface, clay-sandy material (H - 440 mm; R - 140 mm; C - 380/210 mm; B -110 mm.)",,"two-handle, egg-shaped with set-off bottom, brown-black smooth surface, clay-sandy material ",44,38,44,,H - 440 mm,R - 140 mm,C - 380/210 mm,B -110 mm.),
Mostkovice (Motorway),198.1.1. Gr. 1,ceramic,,,,sand,,,,,,"ribbon handle, tunnel handles",4,,,,jug ,"jug (amphora-shaped, ribbon handle, 3 small tunnel-shaped handles below neck, set-off straight bottom. Grey-black rough surface. Clay-sandy material. (H - 310 mm; R - 155 mm; C- 364/130 mm; B -105 mm)",,"amphora-shaped, ribbon handle, 3 small tunnel-shaped handles below neck, set-off straight bottom. Grey-black rough surface. Clay-sandy material. ",31,36.4,36.4,,H - 310 mm,R - 155 mm,C- 364/130 mm,B -105 mm),
Mostkovice (Motorway),198.1.1. Gr. 1,ceramic,,,,sand,,,1,,,handle,1,,,,pot ,"pot (only upper part, handle. Grey-brown smooth surface. Fine clay-sandy material. (Preserved H -154 mm; R -150 mm)",,"only upper part, handle. Grey-brown smooth surface. Fine clay-sandy material. ",15.4,15,15.4,,Preserved H -154 mm,R -150 mm),,,
Mostkovice (Motorway),198.1.1. Gr. 1,ceramic,,,,sand,,,1,,,band handle,1,,,,pot ,"pot (undecorated, band handle. Brown smooth surface. sand-tempered, fine clay material, (H -100 mm; R - 115 mm; B - 60 mm)",,"undecorated, band handle. Brown smooth surface. sand-tempered, fine clay material, ",10,11.5,11.5,,H -100 mm,R - 115 mm,B - 60 mm),,
Mostkovice (Motorway),198.1.1. Gr. 1,ceramic,,,,sand,,,,,,modelled boss,1,,,,pot sherd ,"pot sherd (egg-shaped pot neck, one modelled articulated boss, grey-black coarsened surface. Coarse clay-sandy material. (Preserved H -108 mm; R - about 170 mm)",,"egg-shaped pot neck, one modelled articulated boss, grey-black coarsened surface. Coarse clay-sandy material. ",10.8,17,17,,Preserved H -108 mm,R - about 170 mm),,,
Mouchnice (Dily za vraty),199.1.2. Gr. 2,ceramic,,,,sand,,,1,,,,,,,,amphora ,"amphora (biconically built body, grey-brown smooth surface. Coarse clay-sandy material. (H - 368 mm; R - 160 mm; C - 390/180 mm; B - 105 mm)",,"biconically built body, grey-brown smooth surface. Coarse clay-sandy material. ",36.8,39,39,,H - 368 mm,R - 160 mm,C - 390/180 mm,B - 105 mm),
Mouchnice (Dily za vraty),199.1.2. Gr. 2,ceramic,,,,sand,,,,,,,,,,,pot-like object ,"pot-like object (bottom upwards, Egg-shaped, brown-red to brown-black coarsened surface. Coarse, clay-sandy material. (H - 340 mm; R - 208 mm; C - 277/190 mm; B - 90 mm)",,"bottom upwards, Egg-shaped, brown-red to brown-black coarsened surface. Coarse, clay-sandy material. ",34,27.7,34,,H - 340 mm,R - 208 mm,C - 277/190 mm,B - 90 mm),
Mouchnice (Dily za vraty),199.1.2. Gr. 2,ceramic,,,,sand,,,,,,modelled boss,1,,,,beaker ,"beaker (inclined, bottom upwards, mortar-shaped, modelled boss, rough black surface, clay-sandy material. (H - 100 mm; R - 142 mm; B - 95 mm)",,"inclined, bottom upwards, mortar-shaped, modelled boss, rough black surface, clay-sandy material. ",10,14.2,14.2,,H - 100 mm,R - 142 mm,,B - 95 mm),
Mouchnice (Dily za vraty),199.1.2. Gr. 2,ceramic,,,,sand,,,1,,,band handle,1,,,,Jug ,Jug (band handle. Brown-grey smooth surface. Clay-sandy material. (H - 116 mm; R - 110 mm; C - 145/55 mm; B - 86 mm),,band handle. Brown-grey smooth surface. Clay-sandy material. ,11.6,14.5,14.5,,H - 116 mm,R - 110 mm,C - 145/55 mm,B - 86 mm),
Mouchnice (Dily za vraty),199.1.2. Gr. 2,ceramic,,,,sand,,,,,,handle,1,,,,199.1.2.5. Jug sherd ,199.1.2.5. Jug sherd (with handle. Brick red coarsened surface. Clay-sandy material),63:5,with handle. Brick red coarsened surface. Clay-sandy material),37.8,26.4,37.8,,H - 378,R - 65,C - 264/183,B - 84,
Mouchnice (Dily za vraty),199.1.2. Gr. 2,ceramic,,,,sand,,,,,,modelled boss,1,,,,199.1.2.6. Bowl ,"199.1.2.6. Bowl (Moravian type, modelled articulated boss. Coarsened brown-red surface. Sand-clay material. (H - 53 mm; R - 157 mm; B - 90 mm)",,"Moravian type, modelled articulated boss. Coarsened brown-red surface. Sand-clay material. ",5.3,15.7,15.7,,H - 53 mm,R - 157 mm,,B - 90 mm),
Mouchnice (Dily za vraty),199.1.2. Gr. 2,ceramic,,,,sand,,,,,,ribbon handle,1,,,,jug ,jug (Ridge of ribbon handle divided by two vertical grooves into three longitudinal ribs. Brown coarsened surface with dark spots. Clay-sandy material. (H - 206 mm; R - 170 mm; C - 241/60 mm; B - 100 mm),,Ridge of ribbon handle divided by two vertical grooves into three longitudinal ribs. Brown coarsened surface with dark spots. Clay-sandy material. ,20.6,24.1,24.1,,H - 206 mm,R - 170 mm,C - 241/60 mm,B - 100 mm),
Boleradice (U studanky),20.1.1. Gr. 1,ceramic,,,,sand,,,1,,,handle,1,,,,Beaker ,Beaker (with handle. Brown-grey smooth surface. Clay matrix intermixed with fine grains of sand (H - 151-145 mm; R - 88 mm; B - 58-61 mm),,with handle. Brown-grey smooth surface. Clay matrix intermixed with fine grains of sand ,14.8,8.8,14.8,,H - 151-145 mm,R - 88 mm,,B - 58-61 mm),
Nechvalin (Nivky),207.1.3. Gr. 11,ceramic,,,,sand,,,,,,,,,,,Big egg-shaped pot ,Big egg-shaped pot (brown-red spotted coarsened surface. Clay containing coarse sand grins. (H - 480 mm; R - 280 mm; C - 360/302-330 mm; B - 147 mm),,brown-red spotted coarsened surface. Clay containing coarse sand grins. ,48,36,48,,H - 480 mm,R - 280 mm,C - 360/302-330 mm,B - 147 mm),
Nechvalin (Nivky),207.1.3. Gr. 11,ceramic,,,,sand,,,,,,handle (2+3),5,,,,big two-handle amphora ,"big two-handle amphora (egg shaped with 3 tunnel handles (originally four) below neck. Coarsened, in places cracked brown-grey surface. Fine clay material containing tiny sand grains. (H - 372 mm; R - 122 mm; C - 325/230 mm; B - 102-108 mm)",,"egg shaped with 3 tunnel handles originally four) below neck. Coarsened, in places cracked brown-grey surface. Fine clay material containing tiny sand grains.",37.2,32.5,37.2,,H - 372 mm,R - 122 mm,C - 325/230 mm,B - 102-108 mm),
Nechvalin (Nivky),207.1.3. Gr. 11,ceramic,,,,sand,,,,,,ribbon handle,1,,,,Low cup ,Low cup (ribbon handle. Brown-grey coarsened (in places cracked) surface. Clay amply intermixed with grains of sand. (H - 114 mm; R - 190 mm; B - 98 mm),,ribbon handle. Brown-grey coarsened in places cracked) surface. Clay amply intermixed with grains of sand.,11.4,19,19,,H - 114 mm,R - 190 mm,,B - 98 mm),
Nechvalin (Nivky),207.1.3. Gr. 11,ceramic,,grave fill,,sand,,,,,,modelled decoration,1,,,,small potsherd from belly ,small potsherd from belly (with remains of modelled decoration. Yellow-brown coarsened surface. On fracture and inside grey. Sandy clay matrix),69:1,small potsherd from belly with remains of modelled decoration. Yellow-brown coarsened surface. On fracture and inside grey. Sandy clay matrix),5,5,5,TRUE,,,,,
Nechvalin (Nivky),207.1.3. Gr. 11,ceramic,,grave fill,,,,,1,,,tunnel handle,1,,,,Fragment from belly of thin-walled vessel ,Fragment from belly of thin-walled vessel (with tunnel handle. Grey-brown smooth surface. Finely washed clay),69:1,Fragment from belly of thin-walled vessel with tunnel handle. Grey-brown smooth surface. Finely washed clay),10,10,10,TRUE,,,,,
Nechvalin (Nivky),207.1.3. Gr. 11,ceramic,,grave fill,,,,,,,,,,,,,fragment from belly of thick-walled vessel ,fragment from belly of thick-walled vessel (Similar characteristic of surface material),69:1,fragment from belly of thick-walled vessel Similar characteristic of surface material,10,10,10,TRUE,,,,,
Nechvalin (Nivky),207.1.3. Gr. 11,ceramic,,grave fill,,,,1,,,,,,,,,small fragment of thin-walled vessel ,small fragment of thin-walled vessel (white-grey polished surface. Finely washed clay material),69:1,small fragment of thin-walled vessel (white-grey polished surface. Finely washed clay material),5,5,5,TRUE,,,,,
Nechvalin (Nivky),207.1.3. Gr. 11,ceramic,,grave fill,,,,,,,,,,,,,two potsherds of big vessel ,"two potsherds of big vessel (from bent neck, obliquely incised rim. Same characteristic of both surface and material)",69:1,"two potsherds of big vessel from bent neck, obliquely incised rim. Same characteristic of both surface and material)",20,20,20,TRUE,,,,,
