Site,Grave_ID,InventoryNumber,thickness_mm,grave_fill,clay_grain_size,temper,temper_percent,polish,smooth_beat,decorated (impression),impressed_decorations_perc,decorated (plastic),plastic_deco,slip_paint_perc,SurfaceFinishOutside,SurfaceFinishInside,Main type,Type,Plate,Measurements (mm),height_cm,max_width_cm,max_measure_cm,Measure_missing,height_mm,rim_mm,wall_mm,bottom_mm,Acc_number
"Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West)",30.1.2 Grave 36 (VN 1),ceramic,,,,sand,,,,,,ribbon handle,1,,,,jug ,"jug (undecorated, ribbon handle, coarse sand-tempered, brick-red coarse surface, (H 120mm, rim 110 mm, bottom 80 mm)",,"undecorated, ribbon handle, coarse sand-tempered, brick-red coarse surface, ",12,11,12,,H 120mm,rim 110 mm,,bottom 80 mm),
"Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West)",30.1.2 Grave 36 (VN 1),ceramic,,,,sand,,1,,,,ribbon handle,1,,,,jug ,"jug (undecorated, Drevohostice-type, ribbon handle, dark brown polished surface, sand-tempered, (H 162mm, R 133mm, B 60mm, convexity/belly 198/60mm)",,"undecorated, Drevohostice-type, ribbon handle, dark brown polished surface, sand-tempered, ",16.2,19.8,19.8,,H 162mm,R 133mm,B 60mm,convexity/belly 198/60mm),
"Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West)",30.1.3 Grave 42 VN 1,ceramic,,,,,,,,,,,,,,,Jug ,Jug ((95x52x40mm),,Jug ((95x52x40mm),9.5,5.2,9.5,,95,52,40mm),,
"Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West)",30.1.3 Grave 42 VN 1,ceramic,,,,,,,,,,,,,,,unidentified vessel ,"unidentified vessel ((66mm height, max width 9 cm)",,unidentified vessel ((66mm height),6.6,9,9,,66mm height),90,,,
"Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West)",30.1.4 Grave 70 (VN I),ceramic,,,,sand,,,1,,,,,,,,bowl ,"bowl (Moravian type, smooth brown-red surface, coarse sand-tempered (34x100x50mm)",,"Moravian type, smooth brown-red surface, coarse sand-tempered ",3.4,10,10,,34,100,50mm),,
"Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West)",30.1.4 Grave 70 (VN I),ceramic,,,,sand,,,1,,,,,,,,handless low vessel ,"handless low vessel (with bent neck, brown-black smooth surface, sandy clay matrix, (82x143x80mm)",,"with bent neck, brown-black smooth surface, sandy clay matrix, ",8.2,14.3,14.3,,82,143,80mm),,
Tesetice (Livestock production area belonging to the agricultural cooperative),312.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,1,,,,,,,,jug ,"jug (undecorated, funnel-shaped neck. Black smooth surface. Sandy clay matrix. (H - 116 mm; R 86mm - C 108/37 mm; B - 64 mm)",,"undecorated, funnel-shaped neck. Black smooth surface. Sandy clay matrix. ",11.6,10.8,11.6,,H - 116 mm,R 86mm,C 108/37 mm,B - 64 mm),
Tesetice (Livestock production area belonging to the agricultural cooperative),312.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,1,1,0.6,,,,,,jug ,"jug (potsherds, decorated, Drevohostice type. Black-grey smooth surface. Sandy clay matrix. (H - 188 mm; 1- 140 mm; C - 204/54 mm; B - 85 mm)",108:3,"potsherds, decorated, Drevohostice type. Black-grey smooth surface. Sandy clay matrix. ",18.8,20.4,20.4,,H - 188 mm,1- 140 mm,C - 204/54 mm,B - 85 mm),
Tesetice (Livestock production area belonging to the agricultural cooperative),312.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,1,,,"ribbon handles, modelled ledge, tunnel handles",7,,,,Amphora ,"Amphora (globular body, two ribbon handles, modelled ledge on belly. Below neck four tunnel handles. Grey-brown smooth surface. Sandy clay matrix. (H - 388 mm; R 135mm, W 412/195 mm; B - 108 mm)",,"globular body, two ribbon handles, modelled ledge on belly. Below neck four tunnel handles. Grey-brown smooth surface. Sandy clay matrix. ",38.8,41.2,41.2,,H - 388 mm,R 135mm,C 412/195 mm,B - 108 mm),
Tesetice (Livestock production area belonging to the agricultural cooperative),312.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,1,,,,,,,,vessel with low cylindrical neck ,"vessel with low cylindrical neck (only small potsherds, Black-grey smooth surface. Sandy clay matrix)",,"vessel with low cylindrical neck only small potsherds, Black-grey smooth surface. Sandy clay matrix)",10,10,10,TRUE,,,,,
"Tovacov (Podvali, Svermova ulica)",314.1.2. Gr. 2,ceramic,,,,sand,,,1,1,0.6,modelled boss,1,,,,bowl ,"bowl (decoration on inner side, modelled boss below rim, dark grey smooth surface, sandy material, (H 47-50mm, R 158mm, B 40mm)",110:1a-b,"decoration on inner side, modelled boss below rim, daark grey smooth surface, sandy material, ",4.85,15.8,15.8,,H 47-50mm,R 158mm,,B 40mm),
"Tovacov (Podvali, Svermova ulica)",314.1.2. Gr. 2,ceramic,,,,sand,,,,1,0.5,,,,,,jug ,"jug (decorated, Drevohostice type, dark grey coarsened surface, sandy clay matrix, (H 143mm, R 95mm, C 135/50mm, B 62mm)","110:4, 188:5","decorated, Drevohostice type, dark grey coarsened surface, sandy clay matrix, ",14.3,13.5,14.3,,H 143mm,R 95mm,C 135/50mm,B 62mm),
"Tovacov (Podvali, Svermova ulica)",314.1.2. Gr. 2,ceramic,,,,sand,,,,,,,,,,,beaker ,"beaker (undecorated, corded (none visible), s-shaped body, dark brown coarsened surface, sandy material, (H 100mm, R 80mm, B 49mm)",110:5,"undecorated, corded, s-shaped body, dark brown coarsened surface, sandy material, ",10,8,10,,H 100mm,R 80mm,,B 49mm),
"Tovacov (Podvali, Svermova ulica)",314.1.2. Gr. 2,ceramic,,,,sand,,,1,1,0.05,,,,,,egg-shaped pot ,"egg-shaped pot (decorated, grey smooth surface, sandy clay matrix, (H 183mm, R 102mm, C 142/95mm, B 70mm)",110:6,"decorated, grey smooth surface, sandy clay matrix, ",18.3,14.2,18.3,,H 183mm,R 102mm,C 142/95mm,B 70mm),
"Tovacov (Podvali, Svermova ulica)",314.1.2. Gr. 2,ceramic,,,,,,,1,,,,,,,,jug ,"jug (globular body, grey smoothsurface, clay material, (H 95mm, R 60mm, B 39mm)",,"globular body, grey smoothsurface, clay material, ",9.5,6,9.5,,H 95mm,R 60mm,,B 39mm),
"Tovacov (Podvali, Svermova ulica)",314.1.2. Gr. 2,ceramic,,,,,,,1,,,modelled boss,1,,,,bowl ,"bowl (conical shape, modelled boss, grey-brown smooth surface, fine clay material, (H 55mm, R 138mm, B 60mm)",,"conical shape, modelled boss, grey-brown smooth surface, fine clay material, ",5.5,13.8,13.8,,H 55mm,R 138mm,,B 60mm),
Tvarozna (Intersection of Motorways D 1 and D 47),321.3.1. Gr. 3,ceramic,,,,sand,,,,1,0.5,"ribbon handle, modelled decoration",2,,,,jug ,"jug (amphora-shaped, big ribbon handle and modelled and engraved decoration. Grey-brown coarse surface. Coarse granular sandy material. (H - 310 mm; R - 250 mm; C - 360/130 mm; B - 125 mm)",112:3,"amphora-shaped, big ribbon handle and modelled and engraved decoration. Grey-brown coarse surface. Coarse granular sandy material. ",31,36,36,,H - 310 mm,R - 250 mm,C - 360/130 mm,B - 125 mm),
Vicemilice (Na Barace),347.1.1 Grave 1,ceramic,,,,,,1,,,,handles,2,,,,amphora ,"amphora (two-handled, cylindrical neck. Yellow-brown polished surface. Fine clay material. (H - 274 mm; R - 113 mm; C - 274/110 mm; B - 116 mm)",,"two-handled, cylindrical neck. Yellow-brown polished surface. Fine clay material. ",27.4,27.4,27.4,,H - 274 mm,R - 113 mm,C - 274/110 mm,B - 116 mm),
Vicemilice (Na Barace),347.1.1 Grave 1,ceramic,,,,sand,,,,,,,,,,,egg-shaped pot ,"egg-shaped pot (surface colour brown-red. Clay with grains of sand. (H - 190 mm, unidentified)",,surface colour brown-red. Clay with grains of sand. ,19,0,19,,"H - 190 mm, unidentified)",,,,
Vicemilice (Na Barace),347.1.1 Grave 1,ceramic,,,,,,,1,1,0.4,,,,,,bowl ,"bowl (Sch�nfeld type, rich engraved decoration. Brown-grey smooth surface. Fine clay material. (H - 80 mm; R - 218 mm; B -100 mm)","118:3a-b, 193:1a-c","Sch�nfeld type, rich engraved decoration. Brown-grey smooth surface. Fine clay material. ",8,21.8,21.8,,H - 80 mm,R - 218 mm,,B -100 mm),
Vicemilice (Na Barace),347.1.1 Grave 1,ceramic,,,,,,,1,,,handle,1,,,,pot ,pot (handle. Light brown smooth surface. Finely floated clay. (H - 109 mm; R - 100 mm; B - 87 mm),,handle. Light brown smooth surface. Finely floated clay. ,10.9,10,10.9,,H - 109 mm,R - 100 mm,,B - 87 mm),
Vicemilice (Na Barace),347.1.3. Gr. 3,ceramic,,,,,,,,,,ribbon handles,2,,,,amphora ,"amphora (two ribbon handles on shoulders. Yellow-brown coarsened surface, fine floated clay. (H - 123 mm; R - 67 mm; B - 72 mm)",,"two ribbon handles on shoulders. Yellow-brown coarsened surface, fine floated clay. ",12.3,6.7,12.3,,H - 123 mm,R - 67 mm,,B - 72 mm),
Vicemilice (Na Barace),347.1.3. Gr. 3,ceramic,,,,,,,1,1,0.5,,,,,,beaker ,"beaker (decorated, corded, S-shaped walls. Yellow-brown smooth surface, fine clay material. (H - 120 mm; R - 93 mm; B - 54 mm)",119:2,"decorated, corded, S-shaped walls. Yellow-brown smooth surface, fine clay material. ",12,9.3,12,,H - 120 mm,R - 93 mm,,B - 54 mm),
Vicemilice (Na Barace),347.1.3. Gr. 3,ceramic,,,,,,,1,,,,,,,,bowl ,bowl (conical body. Yellow-brown smooth surface. Fine floated clay. (H - 39 mm; R 140 mm; B - 82 mm),,conical body. Yellow-brown smooth surface. Fine floated clay. ,3.9,14,14,,H - 39 mm,R 140 mm,,B - 82 mm),
Vicemilice (Na Barace),347.1.5 Grave 5 (VN 3b),ceramic,,grave fill,,,,,,,,,,,,,fine potsherds and burnt pieces of clay,fine potsherds and burnt pieces of clay,,fine potsherds and burnt pieces of clay,10,10,10,TRUE,,,,,
Bucovice (site unknown),35.1.1  Grave 1 (VN 3a),ceramic,,,,sand,,,1,,,handle,1,,,,undecorated jug with handle ,"undecorated jug with handle (smooth gray surface, sandy clay matrix)",,"undecorated jug with handle, smooth gray surface, sandy clay matrix)",13.2,15,15,,H - 132 mm,R - 118 mm,C - 150/55,B - 64 mm,
Bucovice (site unknown),35.1.1  Grave 1 (VN 3a),ceramic,,,,,,,,,,,,,,,amphora sherds ,amphora sherds (dilapidated),,amphora sherds (dilapidated),15,15,15,TRUE,,,,,
Bucovice (site unknown),35.1.1  Grave 1 (VN 3a),ceramic,,,,,,,,,,,,,,,corded beaker neck sherds,corded beaker neck sherds (unidentified),,corded beaker neck sherds (unidentified),10,10,10,TRUE,,,,,
Bucovice (site unknown),35.1.2  Grave 2 (VN 3a),ceramic,,,,,,,,,,handle,,,,,egg-shaped pot ,egg-shaped pot (grey-brown coarsened surface. Clay material. (H - 200 mm: R - 130 mm; B - 86 mm),,grey-brown coarsened surface. Clay material. ,20,13,20,,H - 200 mm,R - 130 mm,,B - 86 mm),
Bucovice (site unknown),35.1.2  Grave 2 (VN 3a),ceramic,,,,sand,,,1,,,,,,,,egg-shaped pot ,egg-shaped pot (Brown-grey smooth surface. Sandy clay matrix. (H - 383-395 mm; R - 250-263 mm; C - 350/250 mm; B - 45 mm),,Brown-grey smooth surface. Sandy clay matrix. ,38.9,35,38.9,,H - 383-395 mm,R - 250-263 mm,C - 350/250 mm,B - 45 mm),
Bucovice (site unknown),35.1.2  Grave 2 (VN 3a),ceramic,,,,sand,,,1,,,handles,2,,,,amphora ,"amphora (two-handle ball-shaped, Grey-black smooth surface. Clay matrix intermixed with sand grains. (H - 305 mm; R - 118 mm; C - 265/130 mm; B - 100 mm)",,"two-handle ball-shaped, Grey-black smooth surface. Clay matrix intermixed with sand grains. ",30.5,26.5,30.5,,H - 305 mm,R - 118 mm,C - 265/130 mm,B - 100 mm),
Bucovice (site unknown),35.1.2  Grave 2 (VN 3a),ceramic,,,,sand,,,1,,,,,,,,jug ,jug (Drevohostice type. Brown-black smooth surface. Sandy clay' matrix. (H - 145 mm; R - 106 mm; B - 70 mm),,Drevohostice type. Brown-black smooth surface. Sandy clay' matrix. ,14.5,10.6,14.5,,H - 145 mm,R - 106 mm,,B - 70 mm),
Vresovice (Padelky),355.1.2. Gr. 2,ceramic,,,,sand,,,,,,handle,,,,,jug ,"jug (undecorated, amphora-shaped, dark grey to black-grey surface. Sandy clay matrix. (H - 330 mm; R-160 mm; C - 358/130 mm; B - 104 mm)",,"undecorated, amphora-shaped, dark grey to black-grey surface. Sandy clay matrix. ",33,35.8,35.8,,H - 330 mm,R-160 mm,C - 358/130 mm,B - 104 mm),
Vresovice (Padelky),355.1.2. Gr. 2,ceramic,,,,sand,,,,,,modelled bosses,4,,,,355.1.2.2. Egg-shaped pot ,355.1.2.2. Egg-shaped pot (4 double modelled bosses. Brown coarsened surface. Clay with admixture of coarse sand. (H - 213 mm; R - 150-16 mm; B - 95 mm),,4 double modelled bosses. Brown coarsened surface. Clay with admixture of coarse sand. ,21.3,15,21.3,,H - 213 mm,R - 150-16 mm,,B - 95 mm),
Vresovice (Padelky),355.1.2. Gr. 2,ceramic,,,,sand,,,,,,handle,1,,,,storied jug ,"storied jug (with handle. Dark brown to brown-orange, in places cracked surface. Fine sandy material. (H -127 mm; R - 80 mm; B - 64 mm)",,"with handle. Dark brown to brown-orange, in places cracked surface. Fine sandy material. ",12.7,8,12.7,,H -127 mm,R - 80 mm,,B - 64 mm),
Celechovice na Hane (Piskovna),56.1.1. Gr. 1,ceramic,,,,sand,,,1,,,ribbon handle,1,,,,jug ,"jug (amphora-shaped, massive ribbon handle. Grey-black smooth surface. Sandy clay matrix. (H - 257 mm; R - 135 mm; C - 250/120 mm; B - 90 mm)",,"amphora-shaped, massive ribbon handle. Grey-black smooth surface. Sandy clay matrix. ",25.7,25,25.7,,H - 257 mm,R - 135 mm,C - 250/120 mm,B - 90 mm),
Detkovice (Motorway Prostejov-Vyskov Section),58.1.1. Gr. 1,ceramic,,,,sand,,,1,1,0.6,ribbon handle,1,,,,jug ,"jug (potsherds, decorated, Drevohostice type with ribbon handle. Smooth grey-black surface. Fine sandy material. (H -160 mm; R -120 mm; C -180/65 mm; B - 72 mm)","12:8, 190:1","potsherds, decorated, Drevohostice type with ribbon handle. Smooth grey-black surface. Fine sandy material. ",16,18,18,,H -160 mm,R -120 mm,C -180/65 mm,B - 72 mm),
Detkovice (Motorway Prostejov-Vyskov Section),58.1.1. Gr. 1,ceramic,,,,sand,,,,,,,,,,,egg-shaped pot ,"egg-shaped pot (potsherds, grey-brown coarse surface. Coarse sandy material. (H - 170 mm; R - 108 mm; C - 130/90 mm; B - 60 mm)",,"potsherds, grey-brown coarse surface. Coarse sandy material. ",17,13,17,,H - 170 mm,R - 108 mm,C - 130/90 mm,B - 60 mm),
Drahlov (Cow barn of the agricultural cooperative),72.1.1. Gr. 1,ceramic,,,,sand,,,1,,,,,,,,egg-shaped pot ,"egg-shaped pot (neck potsherd, Grey-brown smooth surface. Sandy clay matrix. (R - 120 mm)",,"neck potsherd, Grey-brown smooth surface. Sandy clay matrix. ",,12,12,,,R - 120 mm),,,
Drahlov (Cow barn of the agricultural cooperative),72.1.1. Gr. 1,ceramic,,,,sand,,,1,,,,,,,,unidentified vessel ,"unidentified vessel (potsherds, black smooth surface. fine sand-tempered clay)",,"unidentified vessel (potsherds, black smooth surface. fine sand-tempered clay)",10,10,10,TRUE,,,,,
Drahlov (Cow barn of the agricultural cooperative),72.1.1. Gr. 1,ceramic,,,,sand,,,1,,,,,,,,unidentifiable vessel ,"unidentifiable vessel (potsherd, black-grey smooth surface. Sandy clay matrix)",,"unidentifiable vessel (potsherd, black-grey smooth surface. Sandy clay matrix)",10,10,10,TRUE,,,,,
Drahlov (Cow barn of the agricultural cooperative),72.1.2 Grave 2 (VN 2),ceramic,,,,,,,1,1,0.3,,,,,,beaker ,"beaker (neck potsherds, decorated, corded, smooth yellow grey surface. Fine clay matrix. (R - 110 mm)",14:7,"neck potsherds, decorated, corded, smooth yellow grey surface. Fine clay matrix. (only rim diameter reported, height, convex wall and bottom diam measured from grave drawing)",22,15,22,,H - c. 220 mm,R - 110 mm),C - c. 150 mm,B - c. 90 mm,
Drahlov (Cow barn of the agricultural cooperative),72.1.2 Grave 2 (VN 2),ceramic,,,,,,,,1,0.1,,,,,,unidentified vessel ,"unidentified vessel (potsherds, decorated with bundle of deep grooves. Brown-red surface), 10% decoration assumed from description",,"unidentified vessel (potsherds, decorated with bundle of deep grooves. Brown-red surface), 10% decoration assumed from description",10,10,10,TRUE,,,,,
Holubice IV (U cihelen),93.1.1. Gr.2,ceramic,,,,sand,,,,,,,,,,,beaker ,"beaker (undecorated, corded (none visible), with funnel-shaped neck. Coarsened grey surface, Sandy material, (H - 76 mm; R - 100 mm; B - 62 mm)",,"undecorated, corded, with funnel-shaped neck. Coarsened grey surface, Sandy material, ",7.6,10,10,,H - 76 mm,R - 100 mm,,B - 62 mm),
Holubice IV (U cihelen),93.1.2. Gr. 26,ceramic,,,,sand,,,,,,handle,,,,,low vessel ,low vessel (biconical body structure. Coarsened grey-brown surface. Clay-like material with coarse sand grains. (H - 93 mm; R- 130 mm; B - 80 mm),,biconical body structure. Coarsened grey-brown surface. Clay-like material with coarse sand grains. ,9.3,13,13,,H - 93 mm,R- 130 mm,,B - 80 mm),
Holubice IV (U cihelen),93.1.2. Gr. 26,ceramic,,,,sand,,1,1,,,ribbon handle,1,,,,pot ,"pot (ribbon handle, smooth polished surface of grey-brown colour. Coarse sandy clay matrix. (H- 150 mm; R- 128 mm; B - 76 mm)",,"ribbon handle, smooth polished surface of grey-brown colour. Coarse sandy clay matrix. ",15,12.8,15,,H- 150 mm,R- 128 mm,,B - 76 mm),
Holubice IV (U cihelen),93.1.2. Gr. 26,ceramic,,,,,,,,1,0.15,,,,,,bowl ,"bowl (conical shape, decorated, Coarsened grey-brown surface. (H - 88 mm; R - 220 mm; B - 100 mm)",18:7,"conical shape, decorated, Coarsened grey-brown surface. ",8.8,22,22,,H - 88 mm,R - 220 mm,,B - 100 mm),
Holubice IV (U cihelen),93.1.2. Gr. 26,ceramic,,,,sand,,,1,,,,,,,,Nagyr�v jug ,"Nagyrev jug (Balkan type, smooth grey-brown surface. Clay with fine sand grains. (H - 230 mm; R - 132 mm; C - 206/50 mm; B - 72 mm)",,"Balkan type, smooth grey-brown surface. Clay with fine sand grains. ",23,20.6,23,,H - 230 mm,R - 132 mm,C - 206/50 mm,B - 72 mm),
Holubice IV (U cihelen),93.1.3. Gr. 36,ceramic,,,,,,,,,,,,,,,unidentified vessel ,unidentified vessel (nine potsherds),,unidentified vessel (nine potsherds),10,10,10,TRUE,,,,,
Holubice VII (Zemnik),93.2.1. Gr. 1,ceramic,,,,sand,,,1,,,,,,,,Egg-shaped pot ,"Egg-shaped pot (smooth brown surface. Coarse grained sandy material, (H - 500 mm; R - 256 mm)",,"smooth brown surface. Coarse grained sandy material, ",50,25.6,50,,H - 500 mm,R - 256 mm),,,
Holubice VII (Zemnik),93.2.1. Gr. 1,ceramic,,,,sand,,,1,,,handles,2,,,,egg-shaped amphora ,"egg-shaped amphora (Upper part only, with two handles below neck, smooth brown surface, clay intermixed with coarse grains of sand. (Rec. H - 145 mm: R - 104 mm)",,"Upper part only, with two handles below neck, smooth brown surface, clay intermixed with coarse grains of sand. ",14.5,10.4,14.5,,Rec. H - 145 mm,R - 104 mm),,,
Holubice VII (Zemnik),93.2.1. Gr. 1,ceramic,,,,sand,,,1,,,,,,,,jug ,"jug (torso only, Black-grey smooth surface. Clay intermixed with small sand grains, (Res. L- 160 mm, R - 160mm)",,"torso only, Black-grey smooth surface. Clay intermixed with small sand grains, ",16,16,16,,Res. L- 160 mm,R - 160mm),,,
Holubice VII (Zemnik),93.2.1. Gr. 1,ceramic,,,,sand,,,,1,0.3,,,,,,bowl ,"bowl (potsherds, decorated, Sch�nfeld type. Brown, coarsened surface. Clay intermixed with coarse sand grains. (Rec. H - 84 mm; R - 228 mm; B c. 60 mm)",20:8a-b,"potsherds, decorated, Sch�nfeld type. Brown, coarsened surface. Clay intermixed with coarse sand grains. ",8.4,22.8,22.8,,Rec. H - 84 mm,R - 228 mm,,B c. 60 mm),
Holubice VII (Zemnik),93.2.2. Gr. 2,ceramic,,,,sand,,,,,,handle,,,,,low vessel ,low vessel (thickened rim at open neck. Grey-brown coarsened surface. Coarse sandy clay matrix. (H- 105 mm; R- 140 mm: B - 92 mm),,thickened rim at open neck. Grey-brown coarsened surface. Coarse sandy clay matrix. ,10.5,14,14,,H- 105 mm,R- 140 mm,,B - 92 mm),
Holubice VII (Zemnik),93.2.2. Gr. 2,ceramic,,,,sand,,,,,,ribbon handle,1,,,,jug ,jug (ribbon handle. Grey-brown coase surface. Coarse sandy clay matrix. (H - 114 mm R - 100 mm: B - 60 mm),,ribbon handle. Grey-brown coase surface. Coarse sandy clay matrix. ,11.4,10,11.4,,H - 114 mm,R - 100 mm,,B - 60 mm),
Holubice VII (Zemnik),93.2.2. Gr. 2,ceramic,,,,sand,,,1,,,,,,,,jug ,"jug (lower part only, sharp edge on belly. Brown-black smooth material. Coarse sandy day matrix. (Res. H - 74 mm: B - 80 mm)",,"lower part only, sharp edge on belly. Brown-black smooth material. Coarse sandy day matrix. ",7.4,8,8,,Res. H - 74 mm,,,B - 80 mm),
Holubice VII (Zemnik),93.2.2. Gr. 2,ceramic,,,,sand,,,,,,,,,,,bowl ,bowl (conical shape. Brown coarsened surface. Clay-like material with fine sand grains. (H - 54 mm; R - 200 mm; B - ca 100 mm),,conical shape. Brown coarsened surface. Clay-like material with fine sand grains. ,5.4,20,20,,H - 54 mm,R - 200 mm,,B - ca 100 mm),
Holubice VII (Zemnik),93.2.2. Gr. 2,ceramic,,,,sand,,,,,,,,,,,bowl ,bowl (Moravian type. Brown coarsened surface. coarse sandy clay matrix. H - 40 mm; R - 116 mm; B - 84 mm),,"Bowl, Moravian type. Brown coarsened surface. coarse sandy clay matrix. H - 40 mm; R - 116 mm; B - 84 mm)",4,11.6,11.6,,H - 40 mm,R - 116 mm,,B - 84 mm),
Holubice VII (Zemnik),93.2.2. Gr. 2,ceramic,,,,sand,,,,,,,,,,,egg-shaped vessel ,"egg-shaped vessel (lower part only, brown-black coarse surface. Sandy clay matrix. (Res. H - 150 mm: B - 100 mm)",,"lower part only, brown-black coarse surface. Sandy clay matrix. ",15,10,15,,Res. H - 150 mm,,,B - 100 mm),
Hostice Farm of the Vyskov State Farm,97.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,,,,"handles, tunnel handles",6,,,,amphora ,"amphora (2-handled, ball-shaped, 4 tunnel handles below neck, brown-black spotted finely coarse surface, sandy clay matrix, (505x168x450/127x168mm)",,"2-handled, ball-shaped, 4 tunnel handles below neck, brown-black spotted finely coarse surface, sandy clay matrix, ",50.5,45,50.5,,505,168,450/127,168mm),
Hostice Farm of the Vyskov State Farm,97.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,,,,modelled bosses,4,,,,egg-shaped pot ,"egg-shaped pot (4 modelled bosses, finely coarse black-brown spotted surface. Clay intermixed with fine sand grains. (H - 384-395 mm; R - 217 mm; V - 335/247 mm)",,"4 modelled bosses, finely coarse black-brown spotted surface. Clay intermixed with fine sand grains. ",38.95,21.7,38.95,,H - 384-395 mm,R - 217 mm,,,
Hostice Farm of the Vyskov State Farm,97.1.1 Grave 1 (VN 1),ceramic,,,,"sand, quartz",,,,,,,,,,,irregularly shaped pot ,irregularly shaped pot (S-shaped walls. Finely coarse black-brown surface. Sandy clay matrix with small quartz rocks. (H - 187 mm; R - 138 mm; C - 168/110 mm; B - 80 mm),,S-shaped walls. Finely coarse black-brown surface. Sandy clay matrix with small quartz rocks. ,18.7,16.8,18.7,,H - 187 mm,R - 138 mm,C - 168/110 mm,B - 80 mm),
Hostice Farm of the Vyskov State Farm,97.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,1,,,,,,,,Nagyr�v jug ,Nagyrev jug (Orkohalom type B. Black-brown spotted smooth surface. Clay with fine sand grains. (H -153 mm; R - 89 mm; B - 136-140 mm),,Orkohalom type B. Black-brown spotted smooth surface. Clay with fine sand grains. ,15.3,13.8,15.3,,H -153 mm,R - 89 mm,,B - 136-140 mm),
Hostice Farm of the Vyskov State Farm,97.1.1 Grave 1 (VN 1),ceramic,,,,,,,,,,ribbon handle,1,,,,Nagyr�v jug ,Nagyrev jug (Balkan type with ribbon handle below rim. Black-brown coarsened surface. (H - 205 mm; R - 90 mm; C - 170/52-62 mm; B - 85 mm),,Balkan type with ribbon handle below rim. Black-brown coarsened surface. ,20.5,17,20.5,,H - 205 mm,R - 90 mm,C - 170/52-62 mm,B - 85 mm),
Hostice Farm of the Vyskov State Farm,97.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,1,,,handle,1,,,,Nagyr�v jug ,Nagyrev jug (Balkan type with similarly located handle below rim. Smooth brown-black surface. Sandy clay matrix. (H - 264 mm; R -115 mm; C - 215/60; B - 94 mm),,Balkan type with similarly located handle below rim. Smooth brown-black surface. Sandy clay matrix. ,26.4,21.5,26.4,,H - 264 mm,R -115 mm,C - 215/60,B - 94 mm),
Hostice Farm of the Vyskov State Farm,97.1.1 Grave 1 (VN 1),ceramic,,,,sand,,,,,,handle,1,,,,pot ,pot (handle and funnel-shaped neck. Brown-black coarse surface. Load with fine grains of sand and rocks. (H -105 mm; R -130 mm; B - 82 mm),,handle and funnel-shaped neck. Brown-black coarse surface. Load with fine grains of sand and rocks. ,10.5,13,13,,H -105 mm,R -130 mm,,B - 82 mm),
Hostice Farm of the Vyskov State Farm,97.1.1 Grave 1 (VN 1),ceramic,,,,,,,,,,handle,1,,,,bowl ,bowl (Moravian type with short handle. Finely coarse black-brown spotted surface. (H - 46 mm; R -120 mm; B - 55-60 mm),,Moravian type with short handle. Finely coarse black-brown spotted surface. ,4.6,12,12,,H - 46 mm,R -120 mm,,B - 55-60 mm),
